Iteration 0:
0.257304 -0.497071 3.647541
1.437408 -0.669600 6.241349
0.908917 1.277387 5.297844
0.539700 -0.226029 3.642648
1.030281 -3.090145 7.609436
-0.343820 0.914111 4.135372
-0.629431 1.388299 6.112543
0.111591 -1.439882 5.492332
2.163278 -2.205458 8.309716
0.202412 1.398098 5.564166
3.131504 -0.189432 8.195078
-2.006921 1.554359 7.721867
0.039131 1.456907 5.440261
0.904678 0.381700 4.265451
0.795188 -1.199415 5.056227
1.375523 0.886401 5.826653
0.128442 2.302009 7.079427
-0.422559 0.599120 4.259818
1.268770 0.316064 5.324090
1.069689 0.259954 4.077251
-1.096175 -0.910526 4.064990
0.352085 0.466388 3.849934
-0.160511 0.645577 3.551779
-1.285378 1.287794 6.459584
0.609098 -0.893233 4.549305
0.058310 -0.583203 3.275037
-0.609421 0.036079 3.266514
-0.210355 1.329421 5.294389
1.774897 -0.794556 6.285853
1.442519 -0.534286 6.244122
-0.951804 0.247576 3.691235
1.110268 -0.026476 3.219591
1.765015 -0.156854 5.769837
0.528964 0.267312 3.747030
-0.763672 -0.350374 4.181712
0.045143 2.307180 6.931615
-1.379574 -1.139310 6.231686
-0.603920 -1.489624 6.376788
Iteration 6:
-2.006921 1.554359 7.721867
1.357117 -0.990556 5.741952
1.069689 0.259954 4.077251
0.257304 -0.497071 3.647541
3.131504 -0.189432 8.195078
0.854845 2.602487 8.231341
0.362054 1.369215 5.833718
0.352085 0.466388 3.849934
1.218573 -0.492989 5.441799
-0.714121 -0.121855 3.383484
1.030281 -3.090145 7.609436
-0.160511 0.645577 3.551779
1.733110 -1.040354 6.152162
1.268770 0.316064 5.324090
0.904678 0.381700 4.265451
0.004498 -0.255002 1.804096
0.150188 0.114728 1.293402
0.342978 -1.444975 6.032875
-0.287646 -0.220836 2.743850
0.112635 1.073754 3.263387
-1.379574 -1.139310 6.231686
0.539700 -0.226029 3.642648
0.064696 -1.401341 5.263616
-0.763672 -0.350374 4.181712
-0.422559 0.599120 4.259818
-1.096175 -0.910526 4.064990
1.127136 -1.030801 4.288638
0.424565 -0.866474 4.374266
0.206813 -0.893233 3.458884
-0.343820 0.022464 2.427042
1.774897 -0.794556 6.285853
-1.056535 -0.727711 4.546418
1.110268 -0.026476 3.219591
0.795188 -1.199415 5.056227
0.397603 -1.247930 5.425271
-0.603920 -1.489624 6.376788
0.202412 1.398098 5.564166
0.908917 1.277387 5.297844
-0.629431 -0.462417 4.373565
0.179555 0.565507 3.544568
-0.698221 2.101956 6.824095
-0.609421 0.036079 3.266514
-1.165127 0.093571 3.810892
0.039131 1.456907 5.440261
1.612984 -0.967238 6.272657
1.442519 -0.534286 6.244122
-0.951804 0.247576 3.691235
1.765015 -0.156854 5.769837
0.045143 2.307180 6.931615
0.058310 -0.583203 3.275037
Iteration 7:
0.132299 -1.166402 3.977726
-0.343820 0.022464 2.427042
-1.216745 0.067134 4.133868
0.878049 -0.910526 3.805573
1.984185 0.897754 5.565524
-1.056535 -0.727711 4.546418
-0.051888 -0.255529 1.864130
-1.379574 -1.139310 6.231686
-0.287646 -0.220836 2.743850
-0.714121 -0.121855 3.383484
1.442519 -0.534286 6.244122
1.030281 -3.090145 7.609436
-1.139797 -0.009734 3.429234
0.257304 -0.497071 3.647541
0.179555 0.565507 3.544568
-0.170356 -0.315188 2.664783
1.069689 0.259954 4.077251
3.131504 -0.860621 8.150625
-0.698221 2.101956 6.824095
-0.951804 0.247576 3.691235
0.854845 2.602487 8.231341
0.112635 1.073754 3.263387
0.795188 -1.199415 5.056227
-0.609421 0.036079 3.266514
0.004498 -0.255002 1.804096
0.202412 1.398098 5.564166
0.902867 -0.252220 3.705556
0.206813 -0.893233 3.458884
-0.422559 0.599120 4.259818
1.218573 -0.492989 5.441799
1.110268 -0.026476 3.219591
0.904678 0.381700 4.265451
1.733110 -1.040354 6.152162
0.342978 -1.444975 6.032875
0.352085 0.466388 3.849934
0.908917 1.277387 5.297844
0.539700 -0.226029 3.642648
-0.629431 -0.462417 4.373565
0.403909 1.021246 4.507744
0.424565 -0.866474 4.374266
-0.763672 -0.350374 4.181712
0.058310 -0.583203 3.275037
-1.165127 0.093571 3.810892
-0.354658 0.328318 3.457904
0.150188 0.114728 1.293402
-0.634881 0.184300 3.625588
0.397603 -1.247930 5.425271
1.774897 -0.794556 6.285853
1.612984 -0.967238 6.272657
0.022747 2.007960 4.959980
Iteration 8:
0.150188 0.114728 1.293402
0.908917 1.277387 5.297844
0.397603 -1.247930 5.425271
0.207022 -0.007023 1.412604
-0.634881 0.184300 3.625588
0.004498 -0.255002 1.804096
-1.165127 0.093571 3.810892
0.206813 -0.893233 3.458884
1.733110 -1.040354 6.152162
0.539700 -0.226029 3.642648
1.984185 0.897754 5.565524
0.904678 0.381700 4.265451
-1.216745 0.067134 4.133868
0.022747 2.007960 4.959980
1.442519 0.769721 6.180775
1.186241 0.555737 5.340639
1.774897 -0.794556 6.285853
-1.139797 -0.009734 3.429234
-0.609421 0.036079 3.266514
0.112635 1.073754 3.263387
0.058310 -0.583203 3.275037
0.166132 -0.208284 1.994058
0.179555 0.565507 3.544568
1.030281 -3.090145 7.609436
-0.394411 0.377256 3.732722
-0.714121 -0.121855 3.383484
0.342978 -1.444975 6.032875
-1.056535 -0.727711 4.546418
-0.343820 0.022464 2.427042
-0.398358 0.170683 3.057218
0.624840 0.142877 3.492804
-1.379574 -1.139310 6.231686
-0.354658 0.328318 3.457904
0.878049 -0.910526 3.805573
0.902867 -0.252220 3.705556
3.131504 -0.860621 8.150625
0.132299 -1.166402 3.977726
-0.763672 -0.350374 4.181712
0.352085 0.466388 3.849934
-0.629431 -0.462417 4.373565
0.403909 1.021246 4.507744
-0.170356 -0.315188 2.664783
1.069689 0.259954 4.077251
-0.080349 -1.210794 4.122220
-0.051888 -0.255529 1.864130
1.110268 -0.026476 3.219591
-0.977482 -1.910454 5.449433
-0.287646 -0.220836 2.743850
-0.832595 -0.898714 3.984104
0.424565 -0.866474 4.374266
Iteration 9:
-0.009699 -0.866815 2.723353
-0.394411 0.377256 3.732722
0.904678 0.381700 4.265451
0.352085 0.466388 3.849934
0.401325 -0.356494 3.692200
0.060112 0.297919 2.187406
0.150188 0.114728 1.293402
0.397603 -1.247930 5.425271
-0.669740 0.161813 3.553433
-0.343820 0.022464 2.427042
-0.287646 -0.220836 2.743850
0.206813 -0.893233 3.458884
-0.404198 0.093571 2.854061
-2.429543 -0.361022 8.125656
0.058310 -0.583203 3.275037
0.121895 0.101658 1.020068
0.624840 0.142877 3.492804
0.004498 -0.255002 1.804096
0.403909 1.021246 4.507744
-1.056535 -0.727711 4.546418
-0.354658 0.328318 3.457904
0.022747 2.007960 4.959980
-0.763672 -0.350374 4.181712
-1.379574 -1.139310 6.231686
-1.451765 -0.772539 6.202512
-0.170356 -0.315188 2.664783
0.179555 0.565507 3.544568
-1.139797 -0.009734 3.429234
0.144891 -0.700426 3.476479
-0.051888 -0.255529 1.864130
0.539700 -0.226029 3.642648
-0.030524 -1.081059 3.026895
0.902867 -0.252220 3.705556
-0.193802 -0.381596 3.070068
0.251051 0.918008 3.696822
-0.174256 -1.728440 5.899462
0.095953 0.218574 1.716998
0.166132 -0.208284 1.994058
-0.634881 0.184300 3.625588
-0.793564 0.096872 3.131103
-0.080349 -1.210794 4.122220
1.774897 -0.794556 6.285853
-0.977482 -1.910454 5.449433
-0.832595 -0.898714 3.984104
0.645643 0.355483 4.155978
0.424565 -0.866474 4.374266
-0.629431 -0.462417 4.373565
-0.714121 -0.121855 3.383484
-0.164112 -0.267125 2.360307
-0.398358 0.170683 3.057218
Iteration 10:
0.357077 -0.765025 4.201525
0.401325 -0.356494 3.692200
-1.139797 -0.009734 3.429234
0.539700 -0.226029 3.642648
0.144891 -0.700426 3.476479
-0.080349 -0.188602 1.420126
0.645643 0.355483 4.155978
