Iteration 0:
0.207081 0.893035 3.460579
-0.707841 0.438419 4.387765
0.818868 -1.471875 6.203519
0.714012 -1.659548 6.544604
0.098880 0.657911 3.371818
-0.749457 0.514828 4.524733
0.992604 0.778731 4.183860
0.839413 -1.053048 4.093012
-0.637386 0.075490 3.326448
-0.634813 0.883115 4.528760
1.024115 -1.176738 4.630728
1.007536 -0.387289 4.422580
0.425381 2.364551 8.019136
0.425381 2.364551 8.019136
0.227153 1.542456 6.012621
-2.044190 1.667186 7.684178
Iteration 2:
-0.083411 0.283904 2.150900
-0.345523 0.687429 4.157667
-0.444136 0.587203 4.287897
-0.718237 0.515668 4.518466
1.344039 0.081947 5.016624
-0.049061 -0.793790 3.001235
-0.925535 -0.411284 4.365027
-1.028154 -0.719121 4.484482
1.007536 0.591979 4.680861
0.892726 -1.113046 4.213627
0.096149 0.076636 0.712499
-1.197238 0.322934 4.992068
1.292177 -0.200537 5.072827
-0.183864 0.529934 3.494762
0.951938 -0.568745 4.597587
0.030088 0.652443 3.257266
0.364352 -0.802115 4.216027
0.970802 -1.116740 4.124332
-0.434483 0.075490 2.940834
-0.399141 0.119278 2.898727
0.116473 1.138523 3.704724
0.695070 0.734745 4.578915
-0.466712 0.642805 4.394592
-0.497375 1.190481 5.325834
-0.637386 0.329259 4.078850
2.805850 0.861527 7.873373
0.465176 0.080801 3.059947
0.513717 -1.337654 5.919143
0.303274 1.293423 5.402407
0.766996 0.327342 4.108132
-0.402643 -0.299303 3.517932
0.689930 -0.010095 3.207823
0.033816 0.292593 2.105884
-0.390780 -0.715784 4.286351
-1.368810 0.152209 5.307832
0.994995 0.872461 3.797760
1.730507 0.907530 6.118375
0.604300 0.716191 4.595197
-0.694968 0.871990 4.441996
-0.741156 1.494633 6.331538
-1.975487 -0.475989 6.713859
0.152771 0.740312 3.453750
0.866460 1.180757 4.735545
0.283008 -1.176738 4.738014
0.323721 0.237437 2.990202
-0.695146 0.667551 4.607292
-0.680914 0.683553 4.607585
-0.680914 0.683553 4.607585
-0.240087 0.757020 3.788401
-0.302289 0.188212 2.672188
Iteration 3:
-0.295569 0.186438 2.628018
-0.222324 -0.786027 3.680415
-0.643632 -0.217498 3.738602
0.136561 0.236460 2.028955
0.299726 0.687429 4.022745
-0.305687 -0.435292 3.635294
0.070732 -0.015572 0.338861
0.816659 -0.817264 4.228672
-0.284725 0.608818 3.922679
-0.626957 -0.189415 3.638301
0.178956 0.162361 1.778180
1.081673 0.203490 3.815797
-0.970135 -0.325849 4.113828
-0.752988 0.478719 4.474299
0.969267 0.378761 4.317750
-0.408756 0.569189 4.187803
0.033816 0.292593 2.105884
0.033816 0.292593 2.105884
-0.640335 0.683553 4.605369
0.784361 0.021593 2.992212
0.875361 -0.807297 4.118252
0.047507 0.774557 3.055551
-0.484715 0.587203 4.363266
0.144618 0.667654 3.498149
-0.395608 -0.353177 3.665886
-0.429654 -0.287117 3.560824
0.302354 0.178594 2.630340
0.898426 -0.695886 4.422846
-0.413115 1.036103 4.575237
-0.458559 0.715463 4.429183
-0.344432 -0.407839 3.675019
0.306140 -0.693580 4.044365
-0.685070 -0.958647 4.458520
0.730336 -0.569378 4.575716
-0.529544 0.316188 3.888955
-0.117553 0.659959 3.420180
-0.532344 0.639671 4.493677
-0.346069 0.447377 3.786548
-0.315261 0.512768 3.852628
-0.332229 0.430021 3.700835
0.033816 0.322933 2.309120
-1.663071 0.587690 6.629923
-0.036823 0.341700 2.428151
-0.089103 0.757116 3.200268
0.900233 0.645279 4.513782
0.852308 0.837741 4.074780
0.709223 1.077761 4.683937
0.418406 0.592188 4.241849
-1.197238 0.315158 4.966177
-0.083411 0.291680 2.203689
Iteration 4:
0.755974 0.302364 4.026612
-0.529544 0.217314 3.596047
-0.054065 0.312452 2.271924
-0.412412 0.009175 2.775944
0.701767 0.057244 3.238373
0.207410 -1.274512 4.999418
0.149899 -0.015572 0.932761
0.070732 -0.188108 1.380314
-0.277981 -0.435292 3.548174
0.124195 0.178594 1.552001
0.106701 -0.032379 0.616750
0.248006 -0.233145 2.597341
0.558689 -0.093567 3.307091
0.350489 0.104221 2.619464
-0.407976 0.388154 3.800051
0.405674 0.450449 3.951055
0.226792 0.722621 3.762580
0.664855 0.527598 4.506863
-0.370561 -0.097296 2.704975
-0.386986 0.725560 4.279935
-0.296349 0.367472 3.391145
0.302354 0.112450 2.365638
0.347017 0.523346 3.959795
0.180833 0.799804 3.468431
0.276247 0.249862 2.822958
0.784361 0.087737 3.126441
-0.413450 0.687393 4.324955
-0.323532 -0.150505 2.630275
0.757970 0.292593 3.990868
-0.074703 -0.311896 2.312955
0.860991 0.415910 4.352697
-0.270755 0.425966 3.496763
0.073615 0.703289 3.267934
0.520408 0.475009 4.243440
0.109378 0.241837 1.945058
0.120856 0.350609 2.670673
0.278567 0.021593 1.992126
-0.027912 0.187506 1.266245
-0.144885 0.295734 2.448949
0.010626 -0.807297 2.912232
0.532506 0.430021 4.173643
0.337761 0.570248 4.018043
-0.166508 -0.100250 1.336386
-0.350656 0.380942 3.614613
0.994175 0.363430 4.310372
-0.138602 0.245185 2.098219
-0.571940 -0.425891 4.228867
-0.584561 0.316188 3.981445
-0.221154 0.020515 1.539972
-0.838084 0.410751 4.339708
Iteration 5:
-0.165135 -0.217886 2.051525
0.191987 0.005256 1.284316
0.011977 0.278021 1.981752
0.193627 0.121934 1.649865
0.288323 0.048714 2.098688
-0.104343 -0.044742 0.633850
-0.381856 0.217726 3.158613
-0.175441 0.087184 1.344267
-0.511591 0.210803 3.537573
-0.086133 0.138603 1.056224
-0.098223 0.103741 0.881036
-0.176996 0.229227 2.189156
-0.111750 -0.251500 2.023810
-0.129461 -0.160646 1.453524
0.043436 -0.081605 0.475790
-0.307297 -0.048070 2.227433
0.128512 0.267261 2.201225
0.755974 -0.131047 3.343428
-0.315974 0.017271 2.249550
0.040259 -0.649131 3.268942
0.994175 0.324073 4.150687
0.122507 0.311318 2.455849
-0.035856 -0.014438 0.148673
0.259227 0.010195 1.838756
-0.317593 0.012419 2.257638
0.314522 -0.679441 4.065150
-0.407976 -0.086127 2.853662
0.327882 0.497922 3.855896
-0.323658 0.460489 3.755883
0.054439 0.295734 2.160940
-0.074703 0.106926 0.773789
-0.075130 0.178594 1.319813
-0.367449 0.240956 3.188360
0.387645 0.295189 3.455817
-0.027912 -0.231316 1.631750
0.088398 0.117377 0.915354
-0.512751 0.879358 4.526328
0.251831 0.088282 1.938140
-0.117270 0.242465 1.982903
0.081763 0.892055 2.816629
-0.386553 -0.129493 2.872958
0.197160 0.564456 3.596517
0.049998 0.212536 1.518540
0.558689 0.380715 4.106938
0.106529 -0.126892 1.082488
0.169239 -0.769633 3.471499
-0.001404 0.263079 1.866331
0.225906 0.070965 1.683907
-0.054316 0.097552 0.620356
-0.305619 -0.212723 2.797894
Iteration 6:
0.337857 0.128311 2.627260
0.077479 0.927936 2.747114
0.039156 -0.094028 0.544229
0.013079 -0.277082 1.975352
-0.355334 -0.076414 2.574426
-0.156985 -0.054456 1.072375
-0.175441 -0.056688 1.230563
-0.111750 -1.007762 2.976371
-0.184230 0.015648 1.223975
0.624230 -0.129424 3.454127
-0.265411 -0.068211 1.977083
-0.104343 -0.194417 1.569007
-0.211461 -0.076402 1.587620
-0.260970 -0.189555 2.447175
0.179544 0.094996 1.411280
0.100840 0.027638 0.563453
0.301300 -0.324847 3.252523
0.301546 -0.305880 3.178862
0.051323 -0.035530 0.277604
-0.039058 -0.017586 0.169362
-0.316640 0.198966 2.793193
-0.044534 0.076341 0.447033
-0.045638 0.006773 0.186214
0.081391 0.171817 1.290920
0.047364 -0.005565 0.194339
0.101455 -0.014438 0.547052
0.023181 0.136138 0.828515
-0.262387 -0.078943 1.985340
0.205529 0.175688 2.031026
0.187808 0.407028 3.149616
-0.003829 0.510696 3.110873
-0.524254 0.246214 3.673833
0.530185 0.220713 3.607786
